code,floor,tradingDate,time,tradingDate_Time,open,high,low,last,adLast,accumulatedVal,accumulatedVol,lastVol
TCB,HOSE,23/05/2025,14:29:54,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.1712E+11,17109500,1000
TCB,HOSE,23/05/2025,14:29:54,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.17196E+11,17112000,2500
TCB,HOSE,23/05/2025,14:29:54,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.17199E+11,17112100,100
TCB,HOSE,23/05/2025,14:29:54,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.17214E+11,17112600,500
TCB,HOSE,23/05/2025,14:29:50,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16969E+11,17104500,3600
TCB,HOSE,23/05/2025,14:29:50,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.17011E+11,17105900,1400
TCB,HOSE,23/05/2025,14:29:49,23/05/2025 14:29,30.55,30.6,29.8,30.25,30.25,5.1686E+11,17100900,4900
TCB,HOSE,23/05/2025,14:29:47,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16712E+11,17096000,1900
TCB,HOSE,23/05/2025,14:29:46,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16655E+11,17094100,500
TCB,HOSE,23/05/2025,14:29:45,23/05/2025 14:29,30.55,30.6,29.8,30.25,30.25,5.1664E+11,17093600,4900
TCB,HOSE,23/05/2025,14:29:44,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16488E+11,17088600,100
TCB,HOSE,23/05/2025,14:29:44,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16491E+11,17088700,100
TCB,HOSE,23/05/2025,14:29:37,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16238E+11,17080300,13800
TCB,HOSE,23/05/2025,14:29:37,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16298E+11,17082300,2000
TCB,HOSE,23/05/2025,14:29:37,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16307E+11,17082600,300
TCB,HOSE,23/05/2025,14:29:37,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16337E+11,17083600,1000
TCB,HOSE,23/05/2025,14:29:37,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.16485E+11,17088500,4900
TCB,HOSE,23/05/2025,14:29:28,23/05/2025 14:29,30.55,30.6,29.8,30.25,30.25,5.15821E+11,17066500,100
TCB,HOSE,23/05/2025,14:29:24,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15818E+11,17066400,100
TCB,HOSE,23/05/2025,14:29:21,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15573E+11,17058300,1000
TCB,HOSE,23/05/2025,14:29:21,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15815E+11,17066300,8000
TCB,HOSE,23/05/2025,14:29:13,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15543E+11,17057300,7100
TCB,HOSE,23/05/2025,14:29:10,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15329E+11,17050200,500
TCB,HOSE,23/05/2025,14:29:06,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15314E+11,17049700,100
TCB,HOSE,23/05/2025,14:29:01,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15311E+11,17049600,6100
TCB,HOSE,23/05/2025,14:29:00,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.14698E+11,17029300,135800
TCB,HOSE,23/05/2025,14:29:00,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.14704E+11,17029500,200
TCB,HOSE,23/05/2025,14:29:00,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.14707E+11,17029600,100
TCB,HOSE,23/05/2025,14:29:00,23/05/2025 14:29,30.55,30.6,29.8,30.2,30.2,5.15126E+11,17043500,13900
TCB,HOSE,23/05/2025,14:28:59,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10596E+11,16893500,1000
